company_id,year_month,caja_ingresos,caja_gastos,flujo_neto,volumen_ventas,volumen_vencido_ventas,atrapado_ventas,volumen_compras,volumen_vencido_compras,atrapado_compras,stock_overdue_clientes,stock_overdue_prov,observado,refund_rate,refund_rate_3m,debt_service,debt_service_3m,mes_sin_ingresos,burn_rate,pct_clientes_morosos,pct_impagos_prov,pct_clientes_morosos_3m,pct_impagos_prov_3m,share_stock_clientes_antiguo,edad_media_stock_prov_dias,share_stock_prov_antiguo,flujo_neto_3m_avg,flujo_neto_6m_avg,burn_rate_3m_avg,ingresos_momentum_3m,colchon_flujo_meses,recuperacion_prov,persistente_flag_flujo_negativo,persistente_flag_estres_prov,persistente_flag_estres_clientes,persistente_flag_stock_prov_antiguo,persistente_flag_tijera,caja_real,caja_negativa_flag,caja_reportada,deuda_viva,flujo_relativo,flujo_relativo_3m,runway_meses,deuda_sobre_ingresos,stock_prov_sobre_ingresos,stock_clientes_sobre_ingresos,flujo_pendiente_robusta_6m,flujo_volatilidad_6m,recuperacion_stock_prov,ventas_acum,compras_acum,top1_clientes_share_3m,top1_prov_share_3m,pctl_flujo_relativo_3m,pctl_burn_rate_3m,pctl_clientes_morosos_3m,pctl_stock_prov_sobre_ingresos,pctl_colchon_flujo_meses,pctl_runway_meses,pctl_flujo_volatilidad_6m,pctl_stock_clientes_sobre_ingresos,pctl_recuperacion_stock_prov,pctl_flujo_pendiente_robusta_6m,meses_activos_acum,mes_parcial,confianza,group_id,score_mensual,score_trayectoria,peso_cubierto,n_componentes_validos,aporte_liquidez,aporte_colchon,aporte_deuda_comercial,aporte_eficiencia,aporte_cobro_clientes,aporte_trayectoria,cambio_real,cambio_cobertura,delta_score,motivo_cambio,score_suavizado,score_volatilidad,caida_score_3m,giro_sigmas,senal_giro,criterios_estructurales,naturaleza_caida,motivo_naturaleza,riesgo_impago_comercial,riesgo_asfixia_caja,senal_nivel,senal_anticipacion,alerta_temprana,alerta_tipo,alerta_canal,alerta_severidad,motivo_alerta
COMP_0001,2024-09,,,,,,,,,,,,False,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,baja,GROUP_0147,,,0.0,0,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2024-10,,,,,,,,,,,,False,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,0,baja,GROUP_0147,,,0.0,0,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2024-11,0.0,0.0,0.0,0.0,0.0,0.0,205.58,80.59,0.0,0.0,0.0,True,,,,,0,,,0.0,,,,,,,,,,,,0,0,0,0,0,,,0,,,,,,,,,,,0.0,205.58,,0.8039935791419399,,,,,,,,,,,1,0,baja,GROUP_0147,,,0.2,1,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2024-12,0.0,0.0,0.0,0.0,0.0,0.0,31472.50760000001,352.94,298.49,0.0,298.49,True,,,,,0,,,84.57244857482858,,68.85105990358223,,3.7686689671345768,0.0,,,,,,,0,0,0,0,0,,,0,,,,,,,,,,,0.0,31678.087600000017,,0.8410922390752642,,,,,,,,,,,2,0,baja,GROUP_0147,,,0.2,1,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-01,0.0,0.0,0.0,12100.0,12100.0,0.0,2535.61,32342.957600000016,0.0,0.0,124.99,True,,,,,0,,0.0,0.0,,0.9106833033567632,,40.0,0.0,0.0,,,,,,0,0,0,0,0,,,0,,,,,,,,,,,12100.0,34213.697600000014,1.0,0.6140318210036102,,,,,,,,,,,3,0,baja,GROUP_0147,,,0.32,2,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-02,0.0,0.0,0.0,0.0,0.0,0.0,5731.24,1719.1,0.0,0.0,124.99,True,,,,,0,,,0.0,,0.8673253546878058,,68.0,0.0,0.0,,,,,,0,0,0,0,0,,,0,,,,,,,,,,,12100.0,39944.93760000002,1.0,0.7016643798074697,,,,,,,,,,,4,0,baja,GROUP_0147,,,0.32,2,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-03,0.0,0.0,0.0,13310.0,13310.0,9680.0,984.56,6095.76,0.0,9680.0,124.99,True,,,,,0,,72.72727272727273,0.0,38.095238095238095,0.0,0.0,99.0,1.0,0.0,,,,,,0,0,0,0,0,,,0,,,,,,,,,,,25410.0,40929.49760000002,1.0,0.5382081190913971,,,0.5900000000000001,,,,,,,,5,0,baja,GROUP_0147,,,0.32,2,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-04,0.0,0.0,0.0,49402.79,49402.79,35773.79,2751.01,1095.61,0.0,45453.79,124.99,True,,,,,0,,72.4124892541494,0.0,72.47929808257614,0.0,0.0,129.0,1.0,0.0,0.0,,,,,0,0,0,0,0,,,0,,,,,,,,,,,74812.79000000001,43680.50760000002,0.9967714374026244,0.523714829009803,,,0.41,,,,,,,,6,0,media,GROUP_0147,,,0.32,2,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-05,0.0,0.0,0.0,44459.27,44459.27,31754.27,11056.42,10141.83,7843.36,47484.27,7968.35,True,,,,,0,,71.42328247854722,77.33673311424073,72.04122044495553,45.2505019269379,0.0,27.7647267000069,0.0156858069738402,0.0,0.0,,,,8.459522211562964,0,0,1,0,0,,,0,,,,,,,,,,,119272.06,54736.92760000002,0.9978476249350828,0.4522972422435152,,,0.39,,,,,,,,7,0,media,GROUP_0147,,52.696472704935694,0.5,3,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-06,0.0,0.0,0.0,74246.69,74246.69,47308.05,20577.69,21125.45,14520.0,63038.05,21904.99,True,,,,,0,,63.71738591983023,68.73226369142432,68.31060846029727,69.10186327611656,0.0,34.55870557347892,0.0057060058005048,0.0,0.0,,,,-37.5247855150033,0,0,1,0,0,,,0,,,,,,,,,,,193518.75,75314.61760000001,0.9978476249350828,0.4282600767596045,,,0.38,,,,,,,,8,0,media,GROUP_0147,,38.0389746170927,0.5,3,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-07,0.0,0.0,0.0,168139.85,168139.85,0.0,50215.32760000002,26007.39,0.0,0.0,124.99,True,,,,,0,,0.0,0.0,27.562654654080536,39.045812049200805,,221.0,1.0,0.0,0.0,,,,-50.84361729918915,0,1,0,0,0,,,0,,,,,,,,,,,361658.6,125529.94520000005,0.9999239521941606,0.4965757103559782,,,0.5700000000000001,,,,,,,,9,0,media,GROUP_0147,,33.79359698588346,0.5,3,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-08,0.0,0.0,0.0,125598.12,0.0,0.0,53978.74,55727.83760000001,24117.707600000016,0.0,24242.697600000018,True,,,,,0,,,43.27766631303852,19.517606051887203,37.56314706602712,,25.175517694862467,0.0051557793634318,0.0,0.0,,,,-33.486773488135526,0,1,0,0,0,,,0,,,,,,,,,,,487256.72,179508.68520000004,0.9973545931411216,0.4570282143139288,,,0.6599999999999999,,,,,,,,10,0,media,GROUP_0147,,39.326090950656805,0.5,3,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-09,0.0,0.0,0.0,124630.0,250228.12,190877.5,32860.15,39408.31,18293.73,190877.5,42536.42760000002,True,,,,,0,,76.28139475291586,46.4209959777519,45.62431010194208,35.00924476882704,0.0,31.78742260903923,0.0029384225956953,0.0,0.0,,,,0.9113871063331658,0,1,0,0,0,,,0,,,,,,,,,,,611886.72,212368.83520000003,0.9973545931411216,0.4867159883763423,,,0.48,,,,,,,,11,0,media,GROUP_0147,,50.290504640143695,0.5,3,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-10,0.0,0.0,0.0,92749.15,92749.15,83916.15,33226.26,27095.88,83.77,104849.15,208.76,True,,,,,0,,90.47646258752776,0.3091613928021529,80.12007617880917,34.76601708601618,0.0,187.4011783866641,0.5987258095420579,0.0,0.0,,,,15.353256110461643,0,1,0,0,0,,,0,,,,,,,,,,,704635.87,245595.09520000004,0.9974306409469612,0.4722886440747594,,,0.29,,,,,,,,12,0,alta,GROUP_0147,,54.893850385209646,0.5,3,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-11,0.0,0.0,0.0,60500.0,60500.0,60500.0,33826.57,41599.12,8987.880000000001,81433.0,9112.87,True,,,,,0,,100.0,21.60593781791538,83.1010009560142,25.314100003043382,0.0,11.83475348600386,0.0137157668220878,0.0,0.0,,,,16.87382017781929,0,0,1,0,0,,,0,,,,,,,,,,,765135.87,279421.66520000005,1.0,0.4360415716378329,,,0.28,,,,,,,,13,0,alta,GROUP_0147,,55.3785301816799,0.5,3,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2025-12,0.0,0.0,0.0,23370.6,23282.71,23282.71,62475.86,60090.09,40146.57,104715.71,41999.44,True,,,,,0,,100.0,66.81063383329929,94.99637062680924,38.21732779780641,0.0843521951004295,12.30650099144179,0.0029759920608465,0.0,0.0,,,,4.440252999062999,0,0,1,0,0,,,0,,,,,,,,,,,788506.47,341897.52520000003,0.9987464307006808,0.4178672407658761,,,0.24,,,,,,,,14,0,alta,GROUP_0147,,51.415330643451334,0.5,3,,,,,,,,,,,,,,,0,0,,,0.0,,0,0,0,,,,
COMP_0001,2026-01,29130.0,19769.01,9360.989999999998,70709.58,70797.47,70797.47,35591.09,19365.9,609.23,175513.18,26977.47,True,0.0,0.0,0.0,0.0,0,0.6786477857878477,100.0,3.145890456937193,100.0,41.09176390819025,0.1192673963288682,43.06098718671544,0.0046331253449637,3120.3299999999995,1560.1649999999995,,,1.4205552023090682,0.9050724039434286,0,0,1,0,0,,,0,,3.856226570545828,,,,11.113272914521112,24.0,,,,859216.05,377488.6152,0.9987464307006808,0.4081884179428712,,,0.0849999999999999,0.04,0.78,,,0.01,,,15,0,alta,GROUP_0147,62.4,50.28849182875697,1.0,6,,,,,,,,,,,,,,,0,1,,,0.812,0.0,0,0,0,,impago_comercial,,
COMP_0001,2026-02,81237.97,71604.9,9633.069999999998,86300.67,86300.67,85788.55,40007.54,25657.27,13501.33,214054.86,40127.56,True,0.0,0.0,0.0,0.0,0,0.8814215815584756,99.40658629880858,52.62184947969912,99.7160895959854,51.61777876549542,0.3125974341344084,51.30775855795868,0.0461744995210274,6331.353333333333,3165.6766666666663,,,0.6236154280800722,-11.945836204535148,0,1,1,0,0,,,0,,1.0473766981489283,,,,4.362957115184777,23.27358489967696,,,,945516.72,417496.1552,0.9967683850300428,0.3860828240882409,,,0.1899999999999999,0.0999999999999999,0.7,,,0.02,,,16,0,alta,GROUP_0147,53.46,46.19226470980442,1.0,6,0.0,-2.52,-3.72,-1.96,0.0,-0.738,-8.94,0.0,-8.94,deuda_comercial -3.7; colchon -2.5,57.93,,,,0,2,,,0.812,0.0,0,1,1,anticipacion,impago_comercial,vigilancia,deuda vencida con proveedores en el quintil adverso; impago de sus clientes en el quintil adverso (contagio); morosidad de clientes en el quintil adverso
COMP_0001,2026-03,45901.58,47044.22,-1142.6399999999976,62009.63,62006.5,62006.5,59387.01,71544.18,23394.58,276061.36,56172.6,True,0.0,0.0,0.000653572273547,0.0001919759799653,0,1.0248932607548584,100.0,32.69948722593508,99.76626693072312,32.17465267933088,0.2478279104326661,64.44573866974291,0.4694146256359862,5950.473333333332,2975.236666666666,0.8616542093670606,,0.3869020626127516,-8.862250155383528,0,1,1,0,0,,,0,,-0.0877437734990596,1.6052864983985655,,,4.313515972881473,21.19886004663097,-1.971985172022444,2.03031352938095,,1007526.35,476883.1652000001,0.9980051289857284,0.3859728542578732,0.98,0.79,0.18,0.0899999999999999,0.66,,0.18,0.02,,0.03,17,0,alta,GROUP_0147,51.8,37.44710831779498,1.0,6,0.0,-1.62,2.34,0.0,0.0,-1.584,-0.86,0.0,-1.66,deuda_comercial +2.3; colchon -1.6,53.46,,,,0,1,,,0.812,0.409,0,1,1,anticipacion,impago_comercial,vigilancia,deuda vencida con proveedores en el quintil adverso; impago de sus clientes en el quintil adverso (contagio); morosidad de clientes en el quintil adverso
COMP_0001,2026-04,57466.23,102365.15,-44898.92,70324.06,70327.19,70327.19,61394.85760000002,63639.027600000016,30558.927600000014,346388.55,86731.52760000002,True,0.0,0.0,0.0,0.0001625084545023,0,1.7813096491626472,100.0,48.01916175098817,99.76576417357272,41.93896872636493,0.3702960447162586,67.47306777057157,0.3069959763973994,-12136.163333333332,-4507.916666666667,1.2292081638253272,5.0,-0.3671369274029229,-7.036069487383728,0,1,1,0,0,,,0,,-2.520808822930817,-0.5203919660936495,,,4.869462338968236,19.44766851857934,-2.0488318182573293,2.646560220720273,,1077850.41,538278.0228,0.9980051289857284,0.3798220147255979,0.2,0.38,0.16,0.0799999999999999,0.4,,0.15,0.02,,0.02,18,0,alta,GROUP_0147,30.15,46.97229478844622,1.0,6,-17.1,-3.384,0.48,-3.36,0.0,1.728,-21.64,0.0,-21.65,liquidez -17.1; colchon -3.4,51.8,,,,0,2,,,0.812,0.409,1,0,1,nivel,impago_comercial,critica,deuda vencida con proveedores en el quintil adverso; impago de sus clientes en el quintil adverso (contagio); morosidad de clientes en el quintil adverso
